Implicit Eye,Aftereffect,Group
-13.23970326,-1.44508641,1
-15.88331376,-13.58514865,1
-33.16163858,0.002109277,1
-21.55549931,1.715157731,1
9.642754209,-5.221050449,1
-25.34123105,-17.87241847,1
-33.99358942,-6.33985702,1
-33.10907465,-13.55469035,1
-8.431086269,-7.896334711,1
-27.7723805,-34.13536611,1
-3.608918135,5.378541966,2
18.89429784,2.531942681,2
-24.08383958,-1.632931225,2
-13.80881767,-0.536052339,2
-33.50497538,-6.537781571,2
-39.33802856,0.894990344,2
7.87218273,2.870980736,2
-20.6937521,0.395023806,2
-38.40308783,-1.732233097,2
