,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
landmarks group 1 homogeneous using eyeHandDiff,0,-3259.7053426446637,113.66395519277648,0.0,0.5658193938267656,102.85596055095571,0.0,True,log
landmarks group 1 intercept using eyeHandDiff,1,-3260.8450114882353,115.65104724388857,1.1396688435716555,0.4341806061732344,102.79706752811974,4.453466815293313,True,log
landmarks group 2 intercept using eyeHandDiff,0,-2983.8000530257814,90.22055419350272,0.0,0.9031638572252514,87.81604491623658,0.0,True,log
landmarks group 2 homogeneous using eyeHandDiff,1,-2989.4404192898014,94.30794872832757,5.640366264020059,0.09683614277474861,88.78770373965652,3.750249466487057,True,log
landmarks group 3 intercept using eyeHandDiff,0,-3274.837240691935,95.51948767109252,0.0,0.8225880340484099,102.5499461659474,0.0,True,log
landmarks group 3 homogeneous using eyeHandDiff,1,-3277.923679639954,97.44002507852974,3.0864389480188095,0.17741196595159014,104.31414749853478,3.290768587400125,True,log
no landmarks group 1 homogeneous using eyeHandDiff,0,-1432.4362698067648,35.346596400232556,0.0,0.6742505641740042,48.23077466255322,0.0,True,log
no landmarks group 1 intercept using eyeHandDiff,1,-1432.9645516290682,37.16644075783779,0.5282818223033701,0.3257494358259958,48.52540585884806,1.8670653182426933,True,log
no landmarks group 2 homogeneous using eyeHandDiff,0,-1410.6804708141058,46.35774639937608,0.0,0.7305049429819507,73.60754912995898,0.0,True,log
no landmarks group 2 intercept using eyeHandDiff,1,-1411.2638528237826,48.83883875128322,0.5833820096770239,0.2694950570180493,72.84428984118382,1.6041262430257066,True,log
landmarks group 1 intercept using eyes,0,-8675.288166351978,5088.584940057628,0.0,0.5,1945.150069595601,0.0,True,log
landmarks group 1 homogeneous using eyes,1,-8780.820752042697,5157.964610724315,105.53258569071744,0.5,2002.5442862933564,137.3162850805079,True,log
landmarks group 2 homogeneous using eyes,0,-8778.93620615459,5367.192823069274,0.0,0.5,1677.2180283500418,0.0,True,log
landmarks group 2 intercept using eyes,1,-8824.54599323836,5393.791156901425,45.60978708377024,0.5,1715.1854429739478,64.55163593476597,True,log
landmarks group 3 homogeneous using eyes,0,-14965.094341098398,10859.909468099571,0.0,0.5,3386.3468962082857,0.0,True,log
landmarks group 3 intercept using eyes,1,-15090.248459557008,10991.167712123659,125.15411845860919,0.5,3475.2059419119437,158.96877125314532,True,log
no landmarks group 1 intercept using eyes,0,-7551.136847827442,5674.997462357364,0.0,0.5,1881.7085969701172,0.0,True,log
no landmarks group 1 homogeneous using eyes,1,-7612.318078084342,5742.016013329607,61.18123025690085,0.5,1955.7778919367952,117.37376754725632,True,log
no landmarks group 2 intercept using eyes,0,-7440.876861528691,5568.2147565103405,0.0,0.5,2629.3373988441767,0.0,True,log
no landmarks group 2 homogeneous using eyes,1,-7536.214786360857,5704.430579072608,95.33792483216618,0.5,2679.855068376787,93.41764431685606,True,log
